product_code,category,title,description,airline,airline_logo,departure_days,duration,price,master_code,product_no,list_url
EPP3880,패키지 > 서울/인천출발 > 유럽,[융프라우 / 바티칸] 핵심도시만 더 여유있게 이탈리아 + 스위스 2개국 9일,아시아나직항/융프라우/루체른/폼페이,아시아나항공,/images/air_logo/air_OZ01.gif,"일, 화, 수, 목 출발",여행기간 9일,"3,177,000",EPP3880,EPP3880-250306FF,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
EPP3664,패키지 > 서울/인천출발 > 유럽,[정말가보고싶은곳] 프랑스 X 스위스 2국 9일 #몽생미셸 #융프라우,프랑스 소도시 / 스위스 융프라우,에어프랑스 외 1개,/images/air_logo/air_AF01.gif,"월, 수, 목 출발",여행기간 9일,"3,690,000",EPP3664,EPP3664-250409AF,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
EPP3437,패키지 > 서울/인천출발 > 유럽,[가까운 우리] 이탈리아 + 스위스 9일 # 리기산/알프스 스파 포함,이탈리아 완전일주/리기산 스파/취리히,에미레이트항공,/images/air_logo/air_EK01.gif,"화, 금 출발",여행기간 9일,"2,390,000",EPP3437,EPP3437-250311EK2,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
EPP3434,패키지 > 서울/인천출발 > 유럽,[대한항공 직항] 이탈리아부터 스위스 2개국 9일,루체른/리기산/스파체험/아울렛/바티칸,대한항공,/images/air_logo/air_KE01.gif,"일, 수, 금 출발",여행기간 9일,"3,079,000",EPP3434,EPP3434-250307,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
EPP3557,패키지 > 서울/인천출발 > 유럽,[알프스의 중심으로] 이탈리아일주 + 스위스 2개국 9일,티웨이직항/리기산/루체른/바티칸,티웨이항공,/images/air_logo/air_TW01.gif,"일, 화, 수, 목 출발",여행기간 9일,"2,447,000",EPP3557,EPP3557-250306TW,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
EPP3406,패키지 > 서울/인천출발 > 유럽,[이유 있는 선택] 프랑스+스위스 10일  #리기산/체르마트/몽생미셸,몽생미셸/스트라스부르/체르마트,아시아나항공,/images/air_logo/air_OZ01.gif,"일, 목 출발",여행기간 10일,"4,377,000",EPP3406,EPP3406-250220OZ,https://www.verygoodtour.com/Product/PackageList?menuCode=101210103
EPP340,패키지 > 서울/인천출발 > 유럽,[또 한번 가고싶은] 서유럽 3개국 9일_이태리/스위스/프랑스 # 융프라우  #1급 호텔,"루브르 & 바티칸박물관, 폼페이유적, 아이거익스프레스",티웨이항공 외 1개,/images/air_logo/air_TW01.gif,"일, 월, 화, 수, 토 출발",여행기간 9일,"2,590,000",EPP340,EPP340-250225TK9,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3411,패키지 > 서울/인천출발 > 유럽,[유럽이 처음이라면] 서유럽 3개국 9일,프랑스/스위스/이태리 서유럽 메인 3개국 #일급호텔,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"일, 수, 목, 금, 토 출발",여행기간 9일,"2,877,000",EPP3411,EPP3411-250305OZ,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3441,패키지 > 서울/인천출발 > 유럽,[서유럽 베스트셀러] 서유럽 3개국 (프랑스/스위스/이태리) 10일 #스트라스부르 #융프라우 #베르사유,유럽여행 초보자 입문 상품_ 대도시와 소도시 완벽한 조화,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"일, 목, 금 출발",여행기간 10일,"3,177,000",EPP3441,EPP3441-250320OZ,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP316,패키지 > 서울/인천출발 > 유럽,[유럽의 정석_서유럽4개국] 영국/프랑스/스위스/이태리 10일/11일,OZ(베르사유)/EK(A380탑승)-융프라우,아시아나항공 외 2개,/images/air_logo/air_OZ01.gif,"일, 월, 화, 수, 목, 토 출발",여행기간 10일 부터,"3,190,000",EPP316,EPP316-250303EK,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3147,패키지 > 서울/인천출발 > 유럽,[자유시간과 함께 여유롭게] 서유럽 3개국 12일 프랑스/스위스/이탈리아,"3개도시 자유시간 제공/융프라우,체르마트",티웨이항공,/images/air_logo/air_TW01.gif,"일, 목 출발",여행기간 12일,"3,547,000",EPP3147,EPP3147-250828,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3167,패키지 > 서울/인천출발 > 유럽,"●10/3, 단1회출발●  영국, 프랑스, 스위스 3개국 10일  #스트라스부르 #체르마트 #옥스퍼드",영프스 핵심관광/타사 비교 필수 일정,에티하드항공,/images/air_logo/air_EY01.gif,금 출발,여행기간 10일,"7,590,000",EPP3167,EPP3167-251003EY,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3145,패키지 > 서울/인천출발 > 유럽,[핵심도시 자유시간] 프랑스 스위스 이태리 3개국 10일 #융프라우 #소도시,소도시 방문 / 3대 도시 자유시간 (베니스/루체른/파리),티웨이항공,/images/air_logo/air_TW01.gif,"일, 화, 수, 금, 토 출발",여행기간 10일,"2,747,000",EPP3145,EPP3145-250309,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3400,패키지 > 서울/인천출발 > 유럽,[코르크향그윽한] 서유럽 4개국 12일 #와이너리,스위스와이너리/소도시관광/일급호텔,대한항공,/images/air_logo/air_KE01.gif,"월, 수 출발",여행기간 12일,"3,879,000",EPP3400,EPP3400-250226ML12,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3270,패키지 > 서울/인천출발 > 유럽,[르네상스는지금부터] 서유럽 4개국 13일  #몽생미셸,이탈리아 중부관광/몽생미셸/일급호텔,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,"목, 금 출발",여행기간 13일,"4,277,000",EPP3270,EPP3270-250227LR13,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
EPP3598,패키지 > 서울/인천출발 > 유럽,[패키지 속 자유] 서유럽 4개국 15일 영국/프랑스/스위스/이태리,런던/파리/베니스/로마 자유 일정!,아시아나항공 외 1개,/images/air_logo/air_OZ01.gif,수 출발,여행기간 15일,"4,477,000",EPP3598,EPP3598-250226,https://www.verygoodtour.com/Product/PackageList?menuCode=101210104
